# To display the perf.data header info, please use --header/--header-only options.
# Total Lost Samples: 0
# Samples: 15K of event 'cpu_atom/cycles/u'
# Event count (approx.): 262380853731
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
     0.47%  [.] isce3::core::Sinc2dInterpolator<std::complex<float> >::interp_impl(double, double, Eigen::Map<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.46%  [.] isce3::core::BilinearInterpolator<double>::interp_impl(double, double, Eigen::Map<Eigen::Array<double, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            


# Samples: 17K of event 'cpu_core/cycles/u'
# Event count (approx.): 253163139603
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
    44.18%  [.] isce3::core::Orbit::interpolate(isce3::core::Vector<3, double>*, isce3::core::Vector<3, double>*, double, isce3::core::OrbitInterpBorderMode) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     8.52%  [.] longest_match                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     6.48%  [.] deflate_slow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     5.08%  [.] isce3::error::ErrorCode isce3::geometry::detail::geo2rdr<isce3::core::Orbit, isce3::core::LUT2d<double> >(double*, double*, isce3::core::Vector<3, double> const&, isce3::core::Ellipsoid const&, isce3::core::Orbit const&, isce3::core::LUT2d<double> const&, double, isce3::core::LookSide, double, isce3::geometry::detail::Geo2RdrParams const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     4.17%  [.] isce3::core::Sinc2dInterpolator<std::complex<float> >::_sinc_eval_2d(Eigen::Map<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&, int, int, double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     3.71%  [.] isce3::geocode::interpolate(Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, int, int, isce3::core::Interpolator<std::complex<float> > const*, isce3::product::RadarGridParameters const&, isce3::core::LUT2d<double> const&) [clone ._omp_fn.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     3.20%  [.] isce3::core::Spline2dInterpolator<float>::_initSpline(isce3::core::detail::SSOBuffer<float, 32ul> const&, int, isce3::core::detail::SSOBuffer<float, 32ul>&, isce3::core::detail::SSOBuffer<float, 32ul>&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     2.87%  [.] isce3::core::Spline2dInterpolator<float>::_spline(double, isce3::core::detail::SSOBuffer<float, 32ul> const&, int, isce3::core::detail::SSOBuffer<float, 32ul> const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     2.02%  [.] compress_block                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.24%  [.] slide_hash                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.94%  [.] isce3::core::Spline2dInterpolator<float>::interp_impl(double, double, Eigen::Map<Eigen::Array<float, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.81%  [.] blas_thread_server                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.80%  [.] isce3::geocode::computeGeogridRadarIndicesAndMask(isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, std::optional<Eigen::Ref<Eigen::Array<unsigned char, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> > >, isce3::geometry::DEMInterpolator const&, isce3::product::GeoGridParameters const&, unsigned long, unsigned long, isce3::product::RadarGridParameters const&, isce3::product::RadarGridParameters const&, isce3::core::Orbit const&, isce3::core::Ellipsoid const&, isce3::core::LUT2d<double> const&, isce3::core::LUT2d<double> const&, double, int, isce3::core::LUT2d<double> const&, isce3::core::LUT2d<double> const&, isce3::core::ProjectionBase const*, bool, unsigned long, isce3::product::SubSwaths const*) [clone ._omp_fn.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.76%  [.] adler32_z                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.69%  [.] isce3::core::LUT2d<double>::eval(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.66%  [.] H5Z__filter_shuffle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.62%  [.] isce3::geometry::DEMInterpolator::interpolateXY(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.55%  [.] fmod                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.51%  [.] pqdownheap                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.49%  [.] isce3::core::Poly2d::eval(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.48%  [.] void isce3::geocode::carrierPhaseRerampAndFlatten<isce3::core::Poly2d>(Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, Eigen::Ref<Eigen::Array<double, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, Eigen::Ref<Eigen::Array<double, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, isce3::core::Poly2d const&, isce3::core::Poly2d const&, isce3::core::LUT2d<double> const&, isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, isce3::product::RadarGridParameters const&, bool, bool, unsigned long, unsigned long, bool, isce3::core::Matrix<double>&) [clone ._omp_fn.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
